Player_Name,Role,Batting_Style,Bowling_Style,IPL_Debut,Indian/Overseas,Matches_played,Batting_SR,Runs_Scored,Batting_Avg,50s,100s,Bowling_SR,Wickets_Taken,Bowling_Avg,Economy
MS Dhoni,Captain/Keeper,Right-hand bat,Right-arm medium,2008,Indian ,205,136.68,4632,40.63,23,0,,,,
Ambati Rayudu,Middle order,Right-hand bat,Right-arm breakoff,2010,Indian,160,126.18,3682,29.46,19,0,,,,
KM Asif,Bowler,Right-hand bat,Right-arm medium,2018,Indian,2,,,,,,12,3,25,12.5
Dwayne Bravo,All rounder,Right-hand bat,Right-arm medium,2008,Overseas,141,128.23,1490,22.58,5,0,17.76,154,24.84,8.39
Deepak Chahar,Bowler,Right-hand bat,Right-arm medium,2016,Indian,49,139.29,78,11.14,0,0,22.76,45,29.04,7.66
Faf du Plessis,Middle-order,Right-hand out,Legbreak,2012,Overseas,85,129.04,2302,32.42,16,0,0,0,0,16
Imran Tahir,Bowler,Right-hand bat,Legbreak Googly,2014,Overseas,58,89.19,33,8.25,0,0,16.15,80,21.09,7.83
Narayan Jagadeesan,WK-Batsman,RIgh-hand bat,,2020,Indian,5,113.79,33,16.5,0,0,,,,
Karn Sharma,Bowler,Left-hand bat,Legbreak googly,2009,Indian,68,115.69,317,15.1,0,0,20.71,59,27.29,7.91
Lungi Ngidi,Bowler,Right-hand bat,Right-arm fast-medium,2018,Overseas,11,,,,,,12.6,20,16.15,7.69
Michtell Santner,Bowling Allrounder,Left-hand bat,Slow left-arm orthodox,2019,Overseas,6,139.13,32,32,0,0,21,6,24.5,7
R Sai Kishore,Bowler,Left-hand bat,Slow left-arm orthodox,,Indian,,,,,,,,,,
Ravindra Jadeja,Bowler,Left-hand bat,Slow left-arm orthodox,2008,Indian,185,126.81,2185,25.71,1,0,23.9,114,30.58,7.68
Robin Uthappa,WK-Batsman,Right-hand bat,Right-arm medium,2008,Indian,189,129.99,4607,27.92,24,0,,,,
Ruturaj Gaikwad,Batsman,Right-hand bat, Right-arm offbreak,2020,Indian,7,118.08,209,41.8,3,0,,,,
Sam Curran,Bowling Allrounder,Left-hand bat,Left-arm fast-medium,2019,Overseas,24,149.29,315,24.23,2,0,20.09,23,30.04,8.97
Shardul Takhur,Bowler,Right-hand bat,Right-arm medium,2015,Indian,46,114.29,48,0,0,0,19.23,48,29.02,9.06
Suresh Raina,Batsman,Left-hand bat,Right-arm offbreak,2008,Indian,194,137.23,5422,33.47,39,1,36.32,25,44.72,7.39
Moeen Ali,Batting Allrounder,Left-hand bat, Right-arm offbreak,2018,Overseas,20,157.53,345,21.56,3,0,27.7,10,34.1,7.39
Krishnappa Gowtham,Bowler,Right-hand bat, Right-arm offbreak,2018,Indian,24,169.09,166,14.31,0,0,31.38,13,43.23,8.26
Cheteshwar Pujara,Batsman,Right-hand bat,Legbreak,2010,Indian,30,99.74,390,20.53,1,0,,,,
Harishankar Reddy,Bowler,Right-hand bat,Right-arm medium,,Indian,,,,,,,,,,
C Hari Nishaanth,Batsman,Left-hand bat, Right-arm offbreak,,Indian,,,,,,,,,,
Bhagath Varma,Bowling Allrounder,Right-hand bat, Right-arm offbreak,,Indian,,,,,,,,,,
Jason Behrendroff,Bowler,Right-hand bat,Left-arm fast-medium,2019,Overseas,5,,,,,,22.8,5,33,8.68